Japan , Japan is an island country in East Asia Located in the Pacific Ocean £¬ it lies off the eastern coast of the Asian continent and stretches from the Sea of Okhotsk in the north to the East China Sea and the Philippine Sea in the south 
United States , The United States of America (USA) £¬ commonly known as the United States (US or US) or America £¬ is a country comprising 50 states £¬ a federal district £¬ five major self-governing territories £¬ and various possessions[h] At 38 million square miles (98 million km2) £¬ the United States is the world's third or fourth largest country by total area[d] and is slightly smaller than the entire continent of Europe's 39 million square miles (101 million km2) With a population of over 327 million people £¬ the US is the third most populous country The capital is Washington £¬ DC £¬ and the most populous city is New York City Forty-eight states and the capital's federal district are contiguous in North America between Canada and Mexico The State of Alaska is in the northwest corner of North America £¬ bordered by Canada to the east and across the Bering Strait from Russia to the west The State of Hawaii is an archipelago in the mid-Pacific Ocean The US territories are scattered about the Pacific Ocean and the Caribbean Sea £¬ stretching across nine official time zones The extremely diverse geography £¬ climate £¬ and wildlife of the United States make it one of the world's 17 megadiverse countries[21] Paleo-Indians migrated from Siberia to the North American mainland at least 12 £¬000 years ago[22] European colonization began in the 16th century The United States emerged from the thirteen British colonies established along the East Coast Following the French and Indian War £¬ numerous disputes between Great Britain and the colonies led to the American Revolution £¬ which began in 1775 £¬ and the subsequent Declaration of Independence in 1776 The war ended in 1783 with the United States becoming the first country to gain independence from a European power[23] The current constitution was adopted in 1788 £¬ with the first ten amendments £¬ collectively named the Bill of Rights £¬ being ratified in 1791 to guarantee many fundamental civil liberties The United States embarked on a vigorous expansion across North America throughout the 19th century £¬ acquiring new territories £¬[24] displacing Native American tribes £¬ and gradually admitting new states until it spanned the continent by 1848[24] During the second half of the 19th century £¬ the Civil War led to the abolition of slavery[25][26] By the end of the century £¬ the United States had extended into the Pacific Ocean £¬[27] and its economy £¬ driven in large part by the Industrial Revolution £¬ began to soar[28] The Spanishâ€“American War and World War I confirmed the country's status as a global military power The United States emerged from World War II as a global superpower £¬ the first country to develop nuclear weapons £¬ the only country to use them in warfare £¬ and a permanent member of the United Nations Security Council Sweeping civil rights legislation £¬ notably the Civil Rights Act of 1964 £¬ the Voting Rights Act of 1965 and the Fair Housing Act of 1968 £¬ outlawed discrimination based on race or color During the Cold War £¬ the United States and the Soviet Union competed in the Space Race £¬ culminating with the 1969 US Moon landing The end of the Cold War and the collapse of the Soviet Union in 1991 left the United States as the world's sole superpower[29] The United States is the world's oldest surviving federation It is a federal republic and a representative democracy The United States is a founding member of the United Nations £¬ World Bank £¬ International Monetary Fund £¬ Organization of American States (OAS) £¬ and other international organizations The United States is a highly developed country £¬ with the world's largest economy by nominal GDP and second-largest economy by PPP £¬ accounting for approximately a quarter of global GDP[30] The US economy is largely post-industrial £¬ characterized by the dominance of services and knowledge-based activities £¬ although the manufacturing sector remains the second-largest in the world[31] The United States is the world's largest importer and the second largest exporter of goods £¬ by value[32][33] Although its population is only 43% of the world total £¬[34] the US holds 31% of the total wealth in the world £¬ the largest share of global wealth concentrated in a single country[35] Despite income and wealth disparities £¬ the United States continues to rank very high in measures of socioeconomic performance £¬ including average wage £¬ human development £¬ per capita GDP £¬ and worker productivity[36][37] The United States is the foremost military power in the world £¬ making up a third of global military spending £¬[38] and is a leading political £¬ cultural £¬ and scientific force internationally[39]
England , England is a country that is part of the United Kingdom[5][6][7] It shares land borders with Wales to the west and Scotland to the north The Irish Sea lies west of England and the Celtic Sea to the southwest England is separated from continental Europe by the North Sea to the east and the English Channel to the south The country covers five-eighths of the island of Great Britain £¬ which lies in the North Atlantic £¬ and includes over 100 smaller islands £¬ such as the Isles of Scilly and the Isle of Wight 
China , China £¬ officially the People's Republic of China (PRC) £¬ is a country in East Asia and the world's most populous country £¬ with a population of around 1404 billion[10] Covering approximately 9 £¬600 £¬000 square kilometers (3 £¬700 £¬000 sq mi) £¬ it is the third- or fourth-largest country by total area[k][16] Governed by the Communist Party of China £¬ the state exercises jurisdiction over 22 provinces £¬ five autonomous regions £¬ four direct-controlled municipalities (Beijing £¬ Tianjin £¬ Shanghai £¬ and Chongqing) £¬ and the special administrative regions of Hong Kong and Macau 
India , India £¬ also known as the Republic of India £¬[19][e] is a country in South Asia It is the seventh-largest country by area £¬ the second-most populous country £¬ and the most populous democracy in the world Bounded by the Indian Ocean on the south £¬ the Arabian Sea on the southwest £¬ and the Bay of Bengal on the southeast £¬ it shares land borders with Pakistan to the west;[f] China £¬ Nepal £¬ and Bhutan to the northeast; and Bangladesh and Myanmar to the east In the Indian Ocean £¬
Korea , Korea is a region in East Asia[3] Since 1948 it has been divided between two distinct sovereign states £¬ North Korea and South Korea Korea consists of the Korean Peninsula £¬ Jeju Island £¬ and several minor islands near the peninsula Korea is bordered by Russia to the northeast £¬ China to the northwest £¬ and Japan to the east via the Korea Strait and the Sea of Japan (East Sea)
Germany , Germany £¬ officially the Federal Republic of Germany is a country in Central and Western Europe £¬ lying between the Baltic and North Seas to the north £¬ and the Alps £¬ Lake Constance and the High Rhine to the south It borders Denmark to the north £¬ Poland and the Czech Republic to the east £¬ Austria and Switzerland to the south £¬ France to the southwest £¬ and Luxembourg £¬ Belgium and the Netherlands to the west
Russia , Russia £¬ or the Russian Federation[12] £¬ is a transcontinental country in Eastern Europe and North Asia[13] At 17 £¬125 £¬200 square kilometres (6 £¬612 £¬100 sq mi) £¬[14] Russia is by a considerable margin the largest country in the world by area £¬ covering more than one-eighth of the Earth's inhabited land area £¬[15][16][17] and the ninth most populous £¬ with about 14679 million people as of 2019 £¬ including Crimea[8] About 77% of the population live in the western £¬ European part of the country
France , France £¬ officially the French Republic £¬ is a country whose territory consists of metropolitan France in Western Europe and several overseas regions and territories[XIII] The metropolitan area of France extends from the Mediterranean Sea to the English Channel and the North Sea £¬ and from the Rhine to the Atlantic Ocean It is bordered by Belgium £¬ Luxembourg and Germany to the northeast £¬ Switzerland and Italy to the east £¬ and Andorra and Spain to the south The overseas territories include French Guiana in South America and several islands in the Atlantic £¬ Pacific and Indian oceans
Italy , Italy £¬ officially the Italian Republic £¬[10][11][12][13] is a European country consisting of a peninsula delimited by the Italian Alps and surrounded by several islands Located in the middle of the Mediterranean sea and traversed along its length by the Apennines £¬ Italy has a largely temperate seasonal climate
Brazil , Brazil officially the Federative Republic of Brazil [9] is the largest country in both South America and Latin America At 85 million square kilometers (32 million square miles)[10] and with over 208 million people £¬ Brazil is the world's fifth-largest country by area and the fifth most populous
Canada , Canada is a country in the northern part of North America Its ten provinces and three territories extend from the Atlantic to the Pacific and northward into the Arctic Ocean £¬ covering 998 million square kilometres (385 million square miles) £¬ making it the world's second-largest country by total area Canada's southern border with the United States £¬ stretching some 8 £¬891 kilometres (5 £¬525 mi) £¬ is the world's longest bi-national land border
Spain , Spain £¬ officially the Kingdom of Spain[11][a][b] is a country mostly located in Europe Its continental European territory is situated on the Iberian Peninsula Its territory also includes two archipelagoes: the Canary Islands off the coast of Africa £¬ and the Balearic Islands in the Mediterranean Sea The African enclaves of Ceuta £¬ Melilla £¬ make Spain the only European country to have a physical border with an African country (Morocco)[h] Several small islands in the Alboran Sea are also part of Spanish territory The country's mainland is bordered to the south and east by the Mediterranean Sea except for a small land boundary with Gibraltar; to the north and northeast by France £¬ Andorra £¬ and the Bay of Biscay; and to the west and northwest by Portugal and the Atlantic Ocean With an area of 505 £¬990 km2 (195 £¬360 sq mi) £¬ Spain is the largest country in Southern Europe £¬ the second largest country in Western Europe and the European Union £¬ and the fourth largest country in the European continent
Australia , Australia £¬ officially the Commonwealth of Australia £¬[12] is a sovereign country comprising the mainland of the Australian continent £¬ the island of Tasmania £¬ and numerous smaller islands It is the largest country in Oceania and the world's sixth-largest country by total area The neighbouring countries are Papua New Guinea £¬ Indonesia £¬ and East Timor to the north; the Solomon Islands and Vanuatu to the north-east; and New Zealand to the south-east
Indonesia , Indonesia £¬ officially the Republic of Indonesia (Indonesian: Republik Indonesia  £¬ is a country in Southeast Asia £¬ between the Indian and Pacific oceans It is the world's largest island country £¬ with more than seventeen thousand islands £¬[11] and at 1 £¬904 £¬569 square kilometres (735 £¬358 square miles) £¬ the 14th largest by land area and the 7th largest in combined sea and land area[12] With over 261 million people £¬ it is the world's 4th most populous country as well as the most populous Muslim-majority country[13] Java £¬ the world's most populous island £¬[14] is home to more than half of the country's population The sovereign state is a presidential £¬ constitutional republic with an elected parliament
Mexico , Mexico £¬ officially the United Mexican States (Spanish: Estados Unidos Mexicanos[10][11][12][13] £¬ is a country in the southern portion of North America It is bordered to the north by the United States; to the south and west by the Pacific Ocean; to the southeast by Guatemala £¬ Belize £¬ and the Caribbean Sea; and to the east by the Gulf of Mexico
Azerbaijan , Azerbaijan is a country in the South Caucasus region of Eurasia It is next to Russia in the north £¬ Georgia £¬ Armenia and the de facto independent Republic of Artsakh in the west £¬ Iran in the south £¬ and Caspian Sea on the east
Belgium , Belgium £¬ officially the Kingdom of Belgium £¬ is a federal state in Western Europe
Cyprus , Cyprus is a Mediterranean island off the coasts of Syria and Turkey It is the third-largest island in the Mediterranean; Sicily and Sardinia are larger It is slightly larger than Puerto Rico Geographically £¬ it is part of Asia and in the Middle East
Denmark , Denmark £¬ officially named the Kingdom of Denmark £¬ is a Nordic country in Northern Europe It is the furthest south of the Scandinavian countries £¬ to the south of Norway and south-west of Sweden (which it is connected to by a bridge) It has a south border with Germany
